g_x: 242, g_y: 2066, g_z: 484, roll: -6.49565205399, pitch: 12.9780774467, yaw: -21.743374468, addr: dcb9, time[s]: 1798.8, roll_offset: -6.50267391535, pitch_offset: 12.9790353807
g_x: -13, g_y: 2128, g_z: -97, roll: 0.43673163368, pitch: -1.91519166002, yaw: 72.0516314035, addr: fc43, time[s]: 1798.8, roll_offset: 0.642487667332, pitch_offset: -1.05497351684
g_x: 69, g_y: 2068, g_z: 236, roll: -1.76611573775, pitch: 6.77096374595, yaw: -44.5999399971, addr: db37, time[s]: 1788.68, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 115, g_y: 2051, g_z: 403, roll: -2.82831089898, pitch: 11.5555035756, yaw: 3.5285542724, addr: db2f, time[s]: 1798.57, roll_offset: -2.8563010142, pitch_offset: 11.5558519152
g_x: -13, g_y: 2128, g_z: -97, roll: 0.43673163368, pitch: -1.91519166002, yaw: 72.0516314035, addr: fc43, time[s]: 1798.8, roll_offset: 0.642487667332, pitch_offset: -1.05497351684
g_x: 70, g_y: 2073, g_z: 244, roll: -1.73809125814, pitch: 6.78737797118, yaw: -44.5758806557, addr: db37, time[s]: 1800.18, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: -186, g_y: 2063, g_z: 382, roll: 5.20761754163, pitch: 10.5339386484, yaw: 32.7650629014, addr: dcd5, time[s]: 1798.57, roll_offset: 5.19183468201, pitch_offset: 10.566140429
g_x: 236, g_y: 2053, g_z: 478, roll: -6.50086861097, pitch: 12.9736984416, yaw: -21.7403128357, addr: dcb9, time[s]: 1800.41, roll_offset: -6.50267391535, pitch_offset: 12.9790353807
g_x: 106, g_y: 2049, g_z: 410, roll: -2.85361781707, pitch: 11.568831836, yaw: 3.51372059563, addr: db2f, time[s]: 1792.59, roll_offset: -2.8563010142, pitch_offset: 11.5558519152
g_x: -186, g_y: 2063, g_z: 382, roll: 5.20761754163, pitch: 10.5339386484, yaw: 32.7650629014, addr: dcd5, time[s]: 1798.57, roll_offset: 5.19183468201, pitch_offset: 10.566140429
g_x: 236, g_y: 2053, g_z: 478, roll: -6.50086861097, pitch: 12.9736984416, yaw: -21.7403128357, addr: dcb9, time[s]: 1800.41, roll_offset: -6.50267391535, pitch_offset: 12.9790353807
g_x: 48, g_y: 2089, g_z: 274, roll: -1.44623012455, pitch: 7.77925590802, yaw: -0.147109868324, addr: db0e, time[s]: 1802.25, roll_offset: -1.44623012455, pitch_offset: 7.77925590802
