g_x: -1525, g_y: -7160, g_z: 798, roll: 42.260839263, pitch: -2.16631615801, yaw: -0.812351857308, addr: dca4, time[s]: 601.66, roll_offset: 39.2526463676, pitch_offset: -0.376811424628
g_x: 68, g_y: -26641, g_z: 445, roll: 3.08124176857, pitch: 0.167673300078, yaw: 0.0115089371201, addr: db4a, time[s]: 601.95, roll_offset: 3.29249055497, pitch_offset: 0.104705686068
g_x: 412, g_y: 2042, g_z: 298, roll: -11.4102186217, pitch: 8.13347890988, yaw: 87.9682739434, addr: db2f, time[s]: 603.03, roll_offset: -11.3847377473, pitch_offset: 8.2293918413
g_x: -20, g_y: -12547, g_z: -209, roll: 2.92061855773, pitch: -0.0767381625009, yaw: -0.00895311485045, addr: dccb, time[s]: 603.03, roll_offset: 2.91897269559, pitch_offset: -0.0701030672791
g_x: 317, g_y: 2134, g_z: 45, roll: -8.54214022698, pitch: 1.5058497786, yaw: -24.1133561949, addr: fc43, time[s]: 603.95, roll_offset: -8.56669731837, pitch_offset: 1.53355686786
g_x: 365, g_y: 2053, g_z: -324, roll: -9.7708255181, pitch: -7.31285644054, yaw: 60.9304646799, addr: dcb9, time[s]: 604.18, roll_offset: -6.7995489414, pitch_offset: 3.03132525201
g_x: 214, g_y: 2009, g_z: 1716, roll: -4.288414952, pitch: 51.3090572339, yaw: 59.7305575371, addr: dcb2, time[s]: 604.25, roll_offset: -87.2651742702, pitch_offset: -2.06420461648
g_x: -1051, g_y: 1665, g_z: 760, roll: 32.5240084501, pitch: 21.3981152356, yaw: 45.5675421609, addr: db0e, time[s]: 606.02, roll_offset: 32.9109694025, pitch_offset: 21.4665486085
g_x: -1486, g_y: 11843, g_z: 811, roll: 41.9794798654, pitch: -2.16514307302, yaw: -0.69447506523, addr: dca4, time[s]: 606.71, roll_offset: 39.2526463676, pitch_offset: -0.376811424628
g_x: 71, g_y: -19999, g_z: 449, roll: 3.02541222918, pitch: 0.237254384824, yaw: 0.0272631636445, addr: db4a, time[s]: 606.98, roll_offset: 3.29249055497, pitch_offset: 0.104705686068
g_x: -19, g_y: -25459, g_z: -202, roll: 2.92618302747, pitch: -0.125862550538, yaw: -0.00321469644289, addr: dccb, time[s]: 608.09, roll_offset: 2.91897269559, pitch_offset: -0.0701030672791
g_x: 442, g_y: 2030, g_z: 316, roll: -11.40153489, pitch: 8.12139459769, yaw: 87.9677616792, addr: db2f, time[s]: 608.09, roll_offset: -11.3847377473, pitch_offset: 8.2293918413
g_x: 321, g_y: 2129, g_z: 66, roll: -8.54631518011, pitch: 1.52458872275, yaw: -24.095020552, addr: fc43, time[s]: 609.01, roll_offset: -8.56669731837, pitch_offset: 1.53355686786
g_x: 363, g_y: 2053, g_z: -329, roll: -9.81319488907, pitch: -7.76251767568, yaw: 60.9683585694, addr: dcb9, time[s]: 609.12, roll_offset: -6.7995489414, pitch_offset: 3.03132525201
g_x: 405, g_y: 2214, g_z: -94, roll: -4.49838051662, pitch: 6.6725377318, yaw: 48.7413329928, addr: dcb2, time[s]: 609.27, roll_offset: -87.2651742702, pitch_offset: -2.06420461648
g_x: -491, g_y: -109, g_z: 2145, roll: 85.0284580718, pitch: 70.154239003, yaw: 0.40978189501, addr: db0e, time[s]: 611.08, roll_offset: 32.9109694025, pitch_offset: 21.4665486085
g_x: -1466, g_y: 29911, g_z: 811, roll: 41.8195100048, pitch: -2.29728588912, yaw: -0.861508622043, addr: dca4, time[s]: 611.77, roll_offset: 39.2526463676, pitch_offset: -0.376811424628
g_x: 84, g_y: 271, g_z: 461, roll: 2.99484435788, pitch: 0.161058328568, yaw: -0.00278904984271, addr: db4a, time[s]: 612.01, roll_offset: 3.29249055497, pitch_offset: 0.104705686068
g_x: -19, g_y: -13924, g_z: -201, roll: 2.94721851601, pitch: 0.027789330002, yaw: 0.00771172880256, addr: dccb, time[s]: 613.15, roll_offset: 2.91897269559, pitch_offset: -0.0701030672791
g_x: 417, g_y: 2042, g_z: 311, roll: -11.4223046415, pitch: 8.13350025423, yaw: 87.9577144709, addr: db2f, time[s]: 613.15, roll_offset: -11.3847377473, pitch_offset: 8.2293918413
g_x: 324, g_y: 2131, g_z: 54, roll: -8.54388704786, pitch: 1.5383931754, yaw: -24.0989684014, addr: fc43, time[s]: 613.95, roll_offset: -8.56669731837, pitch_offset: 1.53355686786
g_x: 357, g_y: 2047, g_z: -310, roll: -9.84380523561, pitch: -8.04585014415, yaw: 60.9735085321, addr: dcb9, time[s]: 614.15, roll_offset: -6.7995489414, pitch_offset: 3.03132525201
g_x: 404, g_y: 2222, g_z: -101, roll: -7.18745416738, pitch: 3.25334289886, yaw: 48.5430286955, addr: dcb2, time[s]: 614.31, roll_offset: -87.2651742702, pitch_offset: -2.06420461648
g_x: -73, g_y: 1046, g_z: 1647, roll: -12.8652922404, pitch: 53.8160064517, yaw: 10.4534107181, addr: db0e, time[s]: 616.14, roll_offset: 32.9109694025, pitch_offset: 21.4665486085
g_x: -1459, g_y: 16194, g_z: 814, roll: 41.7462049996, pitch: -2.23676721143, yaw: -0.822492180266, addr: dca4, time[s]: 616.83, roll_offset: 39.2526463676, pitch_offset: -0.376811424628
g_x: 81, g_y: -31713, g_z: 461, roll: 3.00999905354, pitch: 0.105102143865, yaw: -0.0042380139856, addr: db4a, time[s]: 617.06, roll_offset: 3.29249055497, pitch_offset: 0.104705686068
g_x: -24, g_y: 15967, g_z: -200, roll: 2.95171534181, pitch: -2.74890053447e-09, yaw: 1.06694302122e-07, addr: dccb, time[s]: 618.08, roll_offset: 2.91897269559, pitch_offset: -0.0701030672791
g_x: 586, g_y: -1883, g_z: -518, roll: 17.455344141, pitch: -14.4998512777, yaw: -87.2755834785, addr: dcc2, time[s]: 618.07, roll_offset: 17.455344141, pitch_offset: -14.4998512777
g_x: 414, g_y: 2045, g_z: 296, roll: -11.4434978647, pitch: 8.11958886643, yaw: 87.9565396784, addr: db2f, time[s]: 618.21, roll_offset: -11.3847377473, pitch_offset: 8.2293918413
g_x: 316, g_y: 2127, g_z: 58, roll: -8.56047074717, pitch: 1.5197803763, yaw: -24.0705957956, addr: fc43, time[s]: 618.99, roll_offset: -8.56669731837, pitch_offset: 1.53355686786
g_x: 367, g_y: 2057, g_z: -323, roll: -9.86643194478, pitch: -8.27058641974, yaw: 60.9574166064, addr: dcb9, time[s]: 619.18, roll_offset: -6.7995489414, pitch_offset: 3.03132525201
g_x: 427, g_y: 2216, g_z: -105, roll: -9.23508767772, pitch: 1.17802300328, yaw: 48.5464574505, addr: dcb2, time[s]: 619.36, roll_offset: -87.2651742702, pitch_offset: -2.06420461648
g_x: 7, g_y: 2114, g_z: -127, roll: -0.238017124856, pitch: -3.26857571481, yaw: -14.0024914165, addr: dcd5, time[s]: 619.61, roll_offset: -0.238017124856, pitch_offset: -3.26857571481
g_x: -230, g_y: 20524, g_z: -1768, roll: 6.32382156995, pitch: 0.0472346801333, yaw: 0.0378421628385, addr: db0e, time[s]: 621.05, roll_offset: 32.9109694025, pitch_offset: 21.4665486085
g_x: 3610, g_y: -442, g_z: 2615, roll: -58.8153121883, pitch: 40.893104127, yaw: 88.4845269616, addr: dca4, time[s]: 621.89, roll_offset: 39.2526463676, pitch_offset: -0.376811424628
g_x: 77, g_y: -6783, g_z: 463, roll: 3.02601349927, pitch: 0.0769400332775, yaw: 0.00203233104179, addr: db4a, time[s]: 622.12, roll_offset: 3.29249055497, pitch_offset: 0.104705686068
g_x: -24, g_y: 8990, g_z: -194, roll: 2.95642518413, pitch: -0.0629304214955, yaw: -0.00162383818407, addr: dccb, time[s]: 623.11, roll_offset: 2.91897269559, pitch_offset: -0.0701030672791
g_x: 579, g_y: -1887, g_z: -532, roll: 17.2726399958, pitch: -14.630405221, yaw: -87.2940113289, addr: dcc2, time[s]: 623.1, roll_offset: 17.455344141, pitch_offset: -14.4998512777
