g_x: 350, g_y: 2124, g_z: 108, roll: -13.1408306093, pitch: 20.050199601, yaw: -32.2899549428, addr: fc43, time[s]: 156.16, roll_offset: -13.1408306093, pitch_offset: 20.050199601
g_x: 353, g_y: 2131, g_z: 121, roll: -11.5027762227, pitch: 20.6812151652, yaw: -28.2468312938, addr: fc43, time[s]: 161.2, roll_offset: -13.1408306093, pitch_offset: 20.050199601
g_x: 351, g_y: 2129, g_z: 114, roll: -10.5941544499, pitch: 15.6501131905, yaw: -26.8374832302, addr: fc43, time[s]: 166.26, roll_offset: -13.1408306093, pitch_offset: 20.050199601
g_x: 350, g_y: 2129, g_z: 114, roll: -10.0990673341, pitch: 10.7881309686, yaw: -26.6969930692, addr: fc43, time[s]: 171.32, roll_offset: -13.1408306093, pitch_offset: 20.050199601
g_x: 360, g_y: 2124, g_z: 122, roll: -9.79938510034, pitch: 7.79346270149, yaw: -26.6128980726, addr: fc43, time[s]: 176.38, roll_offset: -13.1408306093, pitch_offset: 20.050199601
g_x: 353, g_y: 2118, g_z: 129, roll: -9.61686110137, pitch: 5.97106449743, yaw: -26.5924314107, addr: fc43, time[s]: 181.32, roll_offset: -13.1408306093, pitch_offset: 20.050199601
